区域名称,内存地址,坐标X,坐标Y,宽度W,高度H,Tileset ID
HouseInteriors1,0811C9A2,15,16,240,240,0
HouseInteriors1,0811C9A2,30,16,320,176,0
HouseInteriors2,0811CA26,0,0,240,160,0
HouseInteriors2,0811CA26,16,0,240,192,0
HouseInteriors2,0811CA26,32,1,240,192,0
HouseInteriors2,0811CA26,48,0,240,192,0
HouseInteriors2,0811CA26,64,0,240,192,0
HouseInteriors2,0811CA26,80,0,240,176,0
HouseInteriors2,0811CA26,96,0,240,160,0
HouseInteriors2,0811CA26,112,0,240,192,0
HouseInteriors2,0811CA26,0,14,240,176,0
HouseInteriors2,0811CA26,16,14,240,160,0
HouseInteriors2,0811CA26,32,14,240,160,0
HouseInteriors2,0811CA26,48,14,240,160,0
HouseInteriors2,0811CA26,64,14,240,160,0
HouseInteriors2,0811CA26,0,0,0,0,65535
HouseInteriors2,0811CA26,0,0,0,0,65535
HouseInteriors2,0811CA26,0,0,0,0,65535
HouseInteriors2,0811CA26,0,27,240,160,0
HouseInteriors2,0811CA26,15,27,240,160,0
HouseInteriors2,0811CA26,31,27,240,160,1
HouseInteriors2,0811CA26,48,27,240,176,0
HouseInteriors2,0811CA26,65,27,240,160,2
HouseInteriors2,0811CA26,81,27,240,160,0
HouseInteriors3,0811CB04,0,0,240,208,0
HouseInteriors3,0811CB04,16,0,240,208,0
HouseInteriors3,0811CB04,32,0,240,160,0
HouseInteriors3,0811CB04,48,0,240,192,0
HouseInteriors3,0811CB04,64,0,240,160,0
HouseInteriors3,0811CB04,80,0,240,160,0
HouseInteriors3,0811CB04,96,0,240,176,0
HouseInteriors3,0811CB04,0,14,240,160,0
HouseInteriors3,0811CB04,16,14,256,160,0
TreeInteriors,0811CB60,0,23,240,160,0
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,0,0,65523
TreeInteriors,0811CB60,0,0,240,160,0
TreeInteriors,0811CB60,16,0,240,160,0
TreeInteriors,0811CB60,32,0,240,160,0
TreeInteriors,0811CB60,48,0,240,160,0
TreeInteriors,0811CB60,64,0,240,160,0
TreeInteriors,0811CB60,80,0,240,160,0
TreeInteriors,0811CB60,96,0,240,160,0
TreeInteriors,0811CB60,112,0,240,160,0
TreeInteriors,0811CB60,128,0,240,160,0
TreeInteriors,0811CB60,0,11,240,160,0
TreeInteriors,0811CB60,16,11,240,160,0
TreeInteriors,0811CB60,32,11,240,160,0
TreeInteriors,0811CB60,48,11,240,160,0
TreeInteriors,0811CB60,64,11,240,160,0
TreeInteriors,0811CB60,80,11,240,160,0
TreeInteriors,0811CB60,96,11,240,160,0
Dojos,0811CCA2,0,0,240,192,0
Dojos,0811CCA2,16,0,240,192,1
Dojos,0811CCA2,32,0,240,192,2
Dojos,0811CCA2,48,0,240,192,3
Dojos,0811CCA2,64,0,240,192,3
Dojos,0811CCA2,80,0,240,192,2
Dojos,0811CCA2,96,0,240,192,4
Dojos,0811CCA2,112,0,240,160,2
Dojos,0811CCA2,0,13,240,160,2
Dojos,0811CCA2,64,13,240,160,5
Dojos,0811CCA2,80,12,240,160,2
Dojos,0811CCA2,16,12,240,160,1
Dojos,0811CCA2,32,12,240,160,2
Dojos,0811CCA2,48,12,240,160,3
CrenelCaves,0811CD30,0,37,720,480,0
CrenelCaves,0811CD30,55,57,240,176,0
CrenelCaves,0811CD30,78,38,240,496,0
CrenelCaves,0811CD30,105,59,240,192,0
CrenelCaves,0811CD30,6,100,240,160,0
CrenelCaves,0811CD30,29,100,240,160,0
CrenelCaves,0811CD30,52,100,240,192,0
CrenelCaves,0811CD30,72,100,240,176,0
CrenelCaves,0811CD30,94,90,240,320,0
CrenelCaves,0811CD30,117,101,240,160,0
CrenelCaves,0811CD30,3,125,560,160,0
CrenelCaves,0811CD30,47,116,240,352,0
CrenelCaves,0811CD30,69,127,240,160,0
CrenelCaves,0811CD30,91,127,240,160,0
CrenelCaves,0811CD30,114,127,240,160,0
CrenelCaves,0811CD30,6,84,240,160,0
CrenelCaves,0811CD30,30,77,240,272,0
MinishCracks,0811CDDC,0,0,240,160,0
MinishCracks,0811CDDC,16,0,240,160,1
MinishCracks,0811CDDC,32,0,240,160,0
MinishCracks,0811CDDC,48,0,240,160,2
MinishCracks,0811CDDC,64,0,240,160,0
MinishCracks,0811CDDC,80,0,240,160,3
MinishCracks,0811CDDC,96,0,240,160,4
MinishCracks,0811CDDC,112,0,240,160,4
MinishCracks,0811CDDC,0,11,240,160,1
MinishCracks,0811CDDC,16,11,240,160,4
MinishCracks,0811CDDC,32,11,240,160,4
MinishCracks,0811CDDC,48,11,240,160,4
MinishCracks,0811CDDC,64,11,240,160,4
MinishCracks,0811CDDC,80,11,240,160,4
MinishCracks,0811CDDC,96,11,240,160,3
MinishCracks,0811CDDC,112,11,240,160,3
MinishCracks,0811CDDC,0,23,240,160,3
MinishCracks,0811CDDC,16,23,240,160,3
HouseInteriors4,0811CE92,0,0,240,192,0
HouseInteriors4,0811CE92,16,0,240,192,0
HouseInteriors4,0811CE92,32,0,240,160,0
HouseInteriors4,0811CE92,47,0,240,160,0
HouseInteriors4,0811CE92,64,0,240,160,0
HouseInteriors4,0811CE92,80,0,240,192,0
GreatFairies,0811CED0,0,0,240,288,0
GreatFairies,0811CED0,16,0,240,288,1
GreatFairies,0811CED0,32,0,240,288,2
CastorCaves,0811CEF0,8,5,240,192,0
CastorCaves,0811CEF0,5,22,352,160,0
CastorCaves,0811CEF0,28,7,240,160,0
CastorCaves,0811CEF0,32,21,240,160,0
CastorCaves,0811CEF0,53,21,240,160,0
CastorDarknut,0811CF24,0,0,272,208,0
CastorDarknut,0811CF24,0,13,512,160,0
ArmosInteriors,0811CF3A,0,0,240,160,0
ArmosInteriors,0811CF3A,0,12,240,160,0
ArmosInteriors,0811CF3A,0,24,240,160,0
ArmosInteriors,0811CF3A,0,36,240,160,0
ArmosInteriors,0811CF3A,0,48,240,160,0
ArmosInteriors,0811CF3A,0,60,240,160,0
ArmosInteriors,0811CF3A,0,72,240,160,0
ArmosInteriors,0811CF3A,0,84,240,160,0
ArmosInteriors,0811CF3A,0,96,240,160,0
ArmosInteriors,0811CF3A,20,0,240,160,0
ArmosInteriors,0811CF3A,20,12,240,160,0
TownMinishHoles,0811CFAA,10,73,240,160,0
TownMinishHoles,0811CFAA,28,73,240,160,1
TownMinishHoles,0811CFAA,46,73,240,160,2
TownMinishHoles,0811CFAA,65,73,240,160,3
TownMinishHoles,0811CFAA,84,73,240,160,4
TownMinishHoles,0811CFAA,102,73,240,160,5
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,19,88,336,448,6
TownMinishHoles,0811CFAA,45,89,240,240,7
TownMinishHoles,0811CFAA,68,89,320,320,8
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,0,0,0,0,65515
TownMinishHoles,0811CFAA,45,114,288,192,9
TownMinishHoles,0811CFAA,65,114,288,192,10
TownMinishHoles,0811CFAA,86,114,288,192,11
TownMinishHoles,0811CFAA,107,114,288,192,12
MinishRafters,0811D114,0,0,496,256,0
MinishRafters,0811D114,32,0,496,256,0
MinishRafters,0811D114,64,0,496,256,0
MinishRafters,0811D114,96,0,496,256,0
GoronCave,0811D13E,0,0,240,160,0
GoronCave,0811D13E,16,0,240,720,0
WindTribeTower,0811D154,0,0,240,336,0
WindTribeTower,0811D154,16,0,240,336,0
WindTribeTower,0811D154,32,0,240,336,0
WindTribeTower,0811D154,48,0,240,336,0
WindTribeTowerRoof,0811D17E,0,0,240,416,0
Caves,0811D18A,0,0,336,336,0
Caves,0811D18A,23,0,368,240,0
Caves,0811D18A,47,0,240,160,0
Caves,0811D18A,64,0,240,160,0
Caves,0811D18A,81,0,240,160,0
Caves,0811D18A,98,0,240,160,0
Caves,0811D18A,0,23,240,224,0
Caves,0811D18A,17,26,240,160,0
Caves,0811D18A,37,26,240,160,0
Caves,0811D18A,54,26,240,160,0
Caves,0811D18A,0,40,240,160,0
Caves,0811D18A,16,40,240,160,0
Caves,0811D18A,36,41,240,256,0
Caves,0811D18A,51,41,240,256,0
Caves,0811D18A,70,41,416,160,0
Caves,0811D18A,0,72,240,160,0
Caves,0811D18A,17,72,240,160,0
Caves,0811D18A,35,72,240,160,0
Caves,0811D18A,105,25,240,160,0
Caves,0811D18A,52,72,240,160,0
Caves,0811D18A,96,41,240,160,0
Caves,0811D18A,70,67,240,240,0
Caves,0811D18A,31,97,240,160,0
Caves,0811D18A,49,97,240,160,0
VeilFallsCaves,0811D27C,0,0,336,160,0
VeilFallsCaves,0811D27C,23,0,288,320,0
VeilFallsCaves,0811D27C,41,0,240,208,0
VeilFallsCaves,0811D27C,59,0,384,160,0
VeilFallsCaves,0811D27C,0,45,240,160,0
VeilFallsCaves,0811D27C,0,35,240,160,0
VeilFallsCaves,0811D27C,0,23,240,160,0
VeilFallsCaves,0811D27C,19,27,240,320,0
VeilFallsCaves,0811D27C,36,27,240,320,0
VeilFallsCaves,0811D27C,53,30,240,160,0
RoyalValleyGraves,0811D2E2,0,0,240,160,0
RoyalValleyGraves,0811D2E2,18,0,240,320,0
MinishCaves,0811D2F8,0,0,304,480,0
MinishCaves,0811D2F8,26,17,240,560,0
MinishCaves,0811D2F8,26,0,240,272,0
MinishCaves,0811D2F8,45,0,656,240,0
MinishCaves,0811D2F8,92,0,240,240,0
MinishCaves,0811D2F8,15,59,240,320,0
MinishCaves,0811D2F8,0,59,240,320,0
MinishCaves,0811D2F8,48,50,496,480,0
MinishCaves,0811D2F8,54,30,960,160,0
MinishCaves,0811D2F8,85,51,624,320,0
CastleGardenMinishHoles,0811D35E,0,0,240,240,0
CastleGardenMinishHoles,0811D35E,19,0,240,240,0
37,0811D374,0,0,240,240,0
37,0811D374,20,0,240,240,0
EzloCutscene,0811D38A,0,0,240,320,0
40,0811D396,1,2,304,272,0
40,0811D396,20,2,368,272,0
40,0811D396,43,2,304,272,0
40,0811D396,1,19,304,272,0
40,0811D396,20,19,368,272,0
40,0811D396,43,19,304,272,0
40,0811D396,19,36,656,256,0
40,0811D396,19,52,400,208,0
40,0811D396,3,36,256,256,0
HyruleTownUnderground,0811D3F2,17,11,720,640,0
HyruleTownUnderground,0811D3F2,34,54,240,160,0
GardenFountains,0811D408,0,0,240,160,0
GardenFountains,0811D408,18,0,240,160,0
HyruleCastleCellar,0811D41E,0,0,240,512,0
HyruleCastleCellar,0811D41E,15,0,240,256,0
SimonsSimulation,0811D434,0,0,304,240,0
45,0811D440,0,0,272,240,0
46,0811D44C,1,2,304,272,0
46,0811D44C,20,2,368,272,0
46,0811D44C,43,2,304,272,0
46,0811D44C,1,19,304,272,0
46,0811D44C,20,19,368,272,0
46,0811D44C,43,19,304,272,0
46,0811D44C,3,36,912,256,0
46,0811D44C,17,52,464,208,0
47,0811D49E,0,40,368,208,0
47,0811D49E,0,25,368,240,0
47,0811D49E,0,0,368,400,1
DeepwoodShrine,0811D4BE,33,153,272,240,0
DeepwoodShrine,0811D4BE,50,153,400,240,0
DeepwoodShrine,0811D4BE,75,153,336,240,0
DeepwoodShrine,0811D4BE,16,168,272,240,0
DeepwoodShrine,0811D4BE,16,183,272,160,0
DeepwoodShrine,0811D4BE,33,168,272,400,0
DeepwoodShrine,0811D4BE,50,168,464,400,0
DeepwoodShrine,0811D4BE,79,168,272,400,0
DeepwoodShrine,0811D4BE,96,168,272,192,0
DeepwoodShrine,0811D4BE,96,180,272,208,0
DeepwoodShrine,0811D4BE,54,193,336,272,0
DeepwoodShrine,0811D4BE,54,227,336,272,0
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,54,210,336,272,0
DeepwoodShrine,0811D4BE,46,284,400,240,0
DeepwoodShrine,0811D4BE,71,284,336,240,0
DeepwoodShrine,0811D4BE,0,0,272,192,0
DeepwoodShrine,0811D4BE,46,299,464,400,0
DeepwoodShrine,0811D4BE,75,299,272,288,0
DeepwoodShrine,0811D4BE,56,84,272,240,1
DeepwoodShrine,0811D4BE,54,99,336,272,0
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,0,0,0,0,65535
DeepwoodShrine,0811D4BE,185,176,240,160,0
DeepwoodShrineBoss,0811D60A,56,84,272,240,0
DeepwoodShrineEntry,0811D616,0,0,240,240,0
4D,0811D622,29,13,656,640,0
CaveOfFlames,0811D62E,21,153,368,272,0
CaveOfFlames,0811D62E,44,153,368,272,0
CaveOfFlames,0811D62E,21,170,736,208,0
CaveOfFlames,0811D62E,90,71,272,208,0
CaveOfFlames,0811D62E,64,183,880,272,0
CaveOfFlames,0811D62E,90,58,272,208,0
CaveOfFlames,0811D62E,21,183,688,272,0
CaveOfFlames,0811D62E,6,183,240,272,0
CaveOfFlames,0811D62E,21,200,368,448,0
CaveOfFlames,0811D62E,44,200,368,448,0
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,0,0,0,0,65535
CaveOfFlames,0811D62E,4,315,672,480,0
CaveOfFlames,0811D62E,4,345,672,240,0
CaveOfFlames,0811D62E,46,315,336,240,0
CaveOfFlames,0811D62E,67,315,336,240,0
CaveOfFlames,0811D62E,88,315,336,240,0
CaveOfFlames,0811D62E,107,58,240,208,0
CaveOfFlames,0811D62E,107,71,240,208,0
CaveOfFlames,0811D62E,46,330,672,480,0
CaveOfFlamesBoss,0811D720,44,442,384,288,0
57,0811D72C,0,0,640,640,0
FortressOfWinds,0811D738,22,63,272,208,0
FortressOfWinds,0811D738,56,63,272,208,0
FortressOfWinds,0811D738,70,63,608,432,0
FortressOfWinds,0811D738,22,76,272,224,0
FortressOfWinds,0811D738,39,76,496,224,0
FortressOfWinds,0811D738,39,178,272,208,1
FortressOfWinds,0811D738,73,178,272,208,1
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,22,165,272,208,0
FortressOfWinds,0811D738,39,165,272,208,0
FortressOfWinds,0811D738,56,165,272,416,0
FortressOfWinds,0811D738,73,165,272,208,0
FortressOfWinds,0811D738,90,165,272,416,0
FortressOfWinds,0811D738,22,178,272,208,0
FortressOfWinds,0811D738,53,50,368,208,0
FortressOfWinds,0811D738,22,191,272,208,0
FortressOfWinds,0811D738,39,191,272,208,0
FortressOfWinds,0811D738,56,191,272,416,0
FortressOfWinds,0811D738,73,191,272,208,0
FortressOfWinds,0811D738,90,191,272,208,0
FortressOfWinds,0811D738,39,204,272,208,0
FortressOfWinds,0811D738,73,204,272,208,0
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,0,0,0,0,65535
FortressOfWinds,0811D738,40,332,240,208,0
FortressOfWinds,0811D738,57,332,240,208,0
FortressOfWinds,0811D738,75,332,240,208,0
FortressOfWinds,0811D738,22,332,240,208,0
FortressOfWinds,0811D738,90,332,256,208,0
FortressOfWindsTop,0811D8AC,0,0,320,480,0
InnerMazaal,0811D8B8,0,0,272,304,0
InnerMazaal,0811D8B8,0,21,272,304,0
5F,0811D8CE,43,24,640,640,0
TempleOfDroplets,0811D8DA,39,12,272,208,0
TempleOfDroplets,0811D8DA,56,12,272,208,0
TempleOfDroplets,0811D8DA,73,12,272,208,0
TempleOfDroplets,0811D8DA,48,25,528,416,0
TempleOfDroplets,0811D8DA,31,38,272,208,0
TempleOfDroplets,0811D8DA,81,38,272,208,0
TempleOfDroplets,0811D8DA,16,51,240,416,0
TempleOfDroplets,0811D8DA,31,51,272,416,0
TempleOfDroplets,0811D8DA,48,51,528,576,0
TempleOfDroplets,0811D8DA,81,51,272,208,0
TempleOfDroplets,0811D8DA,98,51,240,624,0
TempleOfDroplets,0811D8DA,81,64,272,208,0
TempleOfDroplets,0811D8DA,16,77,240,208,0
TempleOfDroplets,0811D8DA,31,77,272,416,0
TempleOfDroplets,0811D8DA,48,87,528,256,0
TempleOfDroplets,0811D8DA,81,77,272,208,0
TempleOfDroplets,0811D8DA,81,90,272,208,0
TempleOfDroplets,0811D8DA,85,322,240,208,0
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,0,0,0,0,65535
TempleOfDroplets,0811D8DA,39,140,544,208,0
TempleOfDroplets,0811D8DA,73,140,272,208,0
TempleOfDroplets,0811D8DA,48,153,528,208,0
TempleOfDroplets,0811D8DA,64,166,272,208,0
TempleOfDroplets,0811D8DA,31,166,272,416,0
TempleOfDroplets,0811D8DA,81,166,272,208,0
TempleOfDroplets,0811D8DA,1,178,240,640,0
TempleOfDroplets,0811D8DA,16,178,240,224,0
TempleOfDroplets,0811D8DA,48,179,528,624,0
TempleOfDroplets,0811D8DA,81,179,272,208,0
TempleOfDroplets,0811D8DA,98,179,240,208,0
TempleOfDroplets,0811D8DA,113,179,240,624,0
TempleOfDroplets,0811D8DA,16,192,240,208,0
TempleOfDroplets,0811D8DA,31,192,272,208,0
TempleOfDroplets,0811D8DA,81,192,272,208,0
TempleOfDroplets,0811D8DA,98,192,240,208,0
TempleOfDroplets,0811D8DA,16,205,240,208,0
TempleOfDroplets,0811D8DA,31,205,272,432,0
TempleOfDroplets,0811D8DA,81,205,272,208,0
TempleOfDroplets,0811D8DA,98,205,240,208,0
TempleOfDroplets,0811D8DA,48,218,528,224,0
TempleOfDroplets,0811D8DA,81,218,272,224,0
TempleOfDroplets,0811D8DA,48,166,256,208,0
61,0811DB02,0,0,240,240,0
HyruleTownMinishCaves,0811DB0E,49,64,384,272,0
HyruleTownMinishCaves,0811DB0E,49,49,384,240,0
